iter	Passed	Remaining
0	19	15351
1	37	14877
2	55	14575
3	71	14192
4	91	14388
5	109	14433
6	129	14515
7	146	14391
8	164	14339
9	181	14195
10	199	14186
11	217	14166
12	236	14190
13	255	14262
14	274	14243
15	291	14178
16	308	14077
17	326	14086
18	344	14051
19	361	13986
20	377	13898
21	392	13787
22	410	13763
23	428	13740
24	445	13715
25	462	13656
26	479	13615
27	495	13564
28	514	13569
29	529	13490
30	545	13431
31	561	13375
32	577	13327
33	595	13301
34	613	13310
35	631	13300
36	646	13236
37	661	13151
38	676	13100
39	690	13024
40	709	13027
41	725	12987
42	741	12954
43	757	12905
44	773	12876
45	788	12829
46	804	12791
47	822	12784
48	839	12761
49	855	12724
50	870	12685
51	885	12631
52	900	12594
53	918	12586
54	935	12572
55	950	12527
56	968	12518
57	986	12514
58	1001	12479
59	1019	12468
60	1033	12419
61	1050	12401
62	1069	12405
63	1088	12413
64	1103	12377
65	1121	12373
66	1141	12390
67	1158	12365
68	1175	12355
69	1193	12346
70	1209	12314
71	1227	12310
72	1243	12278
73	1260	12263
74	1278	12255
75	1295	12243
76	1312	12222
77	1330	12216
78	1350	12219
79	1367	12200
80	1383	12175
81	1400	12161
82	1416	12132
83	1435	12135
84	1451	12108
85	1469	12095
86	1483	12056
87	1502	12051
88	1518	12027
89	1535	12012
90	1550	11975
91	1564	11941
92	1582	11925
93	1598	11904
94	1615	11885
95	1631	11859
96	1649	11854
97	1669	11857
98	1685	11829
99	1699	11795
100	1715	11771
101	1734	11769
102	1750	11744
103	1765	11713
104	1781	11687
105	1795	11655
106	1809	11617
107	1826	11604
108	1844	11590
109	1861	11572
110	1877	11550
111	1895	11544
112	1910	11513
113	1928	11504
114	1948	11506
115	1965	11490
116	1983	11474
117	1996	11439
118	2011	11411
119	2029	11398
120	2049	11400
121	2067	11388
122	2087	11388
123	2103	11366
124	2120	11347
125	2135	11324
126	2153	11307
127	2170	11295
128	2187	11278
129	2203	11257
130	2220	11240
131	2235	11213
132	2253	11197
133	2268	11175
134	2286	11160
135	2303	11143
136	2320	11126
137	2336	11107
138	2352	11086
139	2367	11059
140	2381	11030
141	2399	11016
142	2415	10997
143	2432	10978
144	2450	10966
145	2467	10952
146	2483	10928
147	2498	10905
148	2514	10885
149	2533	10876
150	2550	10859
151	2565	10837
