number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.9915,2026-05-25 12:41:52.277836,2026-05-25 12:41:58.103794,0 days 00:00:05.825958,4,453,6,0.33403441508751086,COMPLETE
1,0.992,2026-05-25 12:41:58.104963,2026-05-25 12:42:24.370677,0 days 00:00:26.265714,7,785,7,0.10167720669422886,COMPLETE
2,0.9916,2026-05-25 12:42:24.372126,2026-05-25 12:43:50.462102,0 days 00:01:26.089976,9,743,5,0.2936466148469077,COMPLETE
3,0.9918,2026-05-25 12:43:50.463430,2026-05-25 12:44:02.897165,0 days 00:00:12.433735,5,725,9,0.40629505062509086,COMPLETE
4,0.9917,2026-05-25 12:44:02.898707,2026-05-25 12:46:01.478564,0 days 00:01:58.579857,10,573,1,0.18162471949915804,COMPLETE
5,0.9915,2026-05-25 12:46:01.479854,2026-05-25 12:47:21.882930,0 days 00:01:20.403076,9,665,5,0.44596973773852044,COMPLETE
6,0.9916,2026-05-25 12:47:21.884430,2026-05-25 12:47:24.612834,0 days 00:00:02.728404,4,184,2,0.44717706731124585,COMPLETE
7,0.9917,2026-05-25 12:47:24.614327,2026-05-25 12:48:31.467793,0 days 00:01:06.853466,9,609,10,0.24104658285010908,COMPLETE
8,0.9917,2026-05-25 12:48:31.469463,2026-05-25 12:48:55.190532,0 days 00:00:23.721069,8,350,2,0.17751006388680587,COMPLETE
9,0.9916,2026-05-25 12:48:55.191910,2026-05-25 12:49:06.890205,0 days 00:00:11.698295,6,507,9,0.39434459122534093,COMPLETE
10,0.9918,2026-05-25 12:49:06.891793,2026-05-25 12:49:14.909307,0 days 00:00:08.017514,7,251,7,0.13663617470997208,COMPLETE
11,0.9917,2026-05-25 12:49:14.910829,2026-05-25 12:49:33.106364,0 days 00:00:18.195535,6,799,8,0.3538880229438664,COMPLETE
12,0.9918,2026-05-25 12:49:33.107868,2026-05-25 12:49:44.425512,0 days 00:00:11.317644,5,703,10,0.4956967665746468,COMPLETE
13,0.9915,2026-05-25 12:49:44.427071,2026-05-25 12:49:53.206176,0 days 00:00:08.779105,3,782,8,0.1076339603736923,COMPLETE
14,0.9917,2026-05-25 12:49:53.207696,2026-05-25 12:50:11.477857,0 days 00:00:18.270161,7,631,7,0.264196868998139,COMPLETE
15,0.9916,2026-05-25 12:50:11.479381,2026-05-25 12:50:17.426405,0 days 00:00:05.947024,5,351,4,0.39052904557072216,COMPLETE
16,0.9921,2026-05-25 12:50:17.427765,2026-05-25 12:50:26.472811,0 days 00:00:09.045046,5,542,8,0.22172467051622555,COMPLETE
17,0.9912,2026-05-25 12:50:26.474452,2026-05-25 12:50:41.176210,0 days 00:00:14.701758,7,500,7,0.21222409085933452,COMPLETE
18,0.9918,2026-05-25 12:50:41.177689,2026-05-25 12:50:45.345870,0 days 00:00:04.168181,3,351,4,0.10543334370016827,COMPLETE
19,0.9914,2026-05-25 12:50:45.348951,2026-05-25 12:50:56.305358,0 days 00:00:10.956407,6,562,8,0.16134131864508008,COMPLETE
20,0.9916,2026-05-25 12:50:56.306405,2026-05-25 12:51:02.093197,0 days 00:00:05.786792,8,113,6,0.2234704128964095,COMPLETE
21,0.9919,2026-05-25 12:51:02.094745,2026-05-25 12:51:11.365365,0 days 00:00:09.270620,5,731,9,0.29346219480581626,COMPLETE
22,0.9911,2026-05-25 12:51:11.366302,2026-05-25 12:51:18.220166,0 days 00:00:06.853864,4,683,9,0.27629565673799594,COMPLETE
23,0.9921,2026-05-25 12:51:18.221076,2026-05-25 12:51:27.484420,0 days 00:00:09.263344,5,748,8,0.32875774990885714,COMPLETE
24,0.9925,2026-05-25 12:51:27.485421,2026-05-25 12:51:40.332771,0 days 00:00:12.847350,6,794,7,0.3314655795831053,COMPLETE
25,0.9914,2026-05-25 12:51:40.334015,2026-05-25 12:51:50.634885,0 days 00:00:10.300870,6,616,8,0.3329335236515611,COMPLETE
26,0.9916,2026-05-25 12:51:50.635819,2026-05-25 12:51:56.189944,0 days 00:00:05.554125,4,545,6,0.3257441737306027,COMPLETE
27,0.9918,2026-05-25 12:51:56.191084,2026-05-25 12:52:01.453056,0 days 00:00:05.261972,5,414,10,0.2535211226725086,COMPLETE
28,0.9918,2026-05-25 12:52:01.453955,2026-05-25 12:52:12.237811,0 days 00:00:10.783856,6,673,8,0.3655731599347775,COMPLETE
29,0.9917,2026-05-25 12:52:12.238693,2026-05-25 12:52:16.538538,0 days 00:00:04.299845,4,425,7,0.31307207812203974,COMPLETE
30,0.9921,2026-05-25 12:52:16.539742,2026-05-25 12:52:23.152250,0 days 00:00:06.612508,3,750,5,0.3564511946568298,COMPLETE
31,0.9923,2026-05-25 12:52:23.153249,2026-05-25 12:52:29.599336,0 days 00:00:06.446087,3,749,4,0.35610751039599664,COMPLETE
32,0.9917,2026-05-25 12:52:29.600263,2026-05-25 12:52:36.130407,0 days 00:00:06.530144,3,767,4,0.3047967290233027,COMPLETE
33,0.9915,2026-05-25 12:52:36.131579,2026-05-25 12:52:44.345706,0 days 00:00:08.214127,4,800,3,0.376365526161515,COMPLETE
34,0.9921,2026-05-25 12:52:44.346856,2026-05-25 12:52:52.395032,0 days 00:00:08.048176,5,646,6,0.3435863769960311,COMPLETE
