number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9398,2026-05-24 04:04:41.777690,2026-05-24 04:04:44.886539,0 days 00:00:03.108849,False,entropy,5,sqrt,3,5,277,COMPLETE
1,0.7777,2026-05-24 04:04:44.887295,2026-05-24 04:04:47.272661,0 days 00:00:02.385366,False,entropy,3,log2,2,9,291,COMPLETE
2,0.9784,2026-05-24 04:04:47.273719,2026-05-24 04:04:52.594508,0 days 00:00:05.320789,False,gini,10,log2,2,9,228,COMPLETE
3,0.9665,2026-05-24 04:04:52.595327,2026-05-24 04:04:55.857399,0 days 00:00:03.262072,False,gini,7,sqrt,2,9,211,COMPLETE
4,0.8373,2026-05-24 04:04:55.858807,2026-05-24 04:04:57.975733,0 days 00:00:02.116926,False,gini,4,log2,5,7,214,COMPLETE
5,0.9464,2026-05-24 04:04:57.976380,2026-05-24 04:05:01.200671,0 days 00:00:03.224291,False,gini,6,sqrt,5,9,246,COMPLETE
6,0.7756,2026-05-24 04:05:01.201329,2026-05-24 04:05:02.054243,0 days 00:00:00.852914,False,gini,3,log2,2,9,121,COMPLETE
7,0.8363,2026-05-24 04:05:02.054888,2026-05-24 04:05:03.947801,0 days 00:00:01.892913,False,gini,4,log2,1,10,203,COMPLETE
8,0.9531,2026-05-24 04:05:03.949121,2026-05-24 04:05:07.695659,0 days 00:00:03.746538,False,gini,6,sqrt,1,6,288,COMPLETE
9,0.9388,2026-05-24 04:05:07.696297,2026-05-24 04:05:10.506097,0 days 00:00:02.809800,True,gini,5,log2,1,2,257,COMPLETE
10,0.9755,2026-05-24 04:05:10.506860,2026-05-24 04:05:13.300648,0 days 00:00:02.793788,True,entropy,10,log2,4,3,146,COMPLETE
11,0.9754,2026-05-24 04:05:13.301616,2026-05-24 04:05:15.842760,0 days 00:00:02.541144,True,entropy,10,log2,4,2,140,COMPLETE
12,0.9762,2026-05-24 04:05:15.843409,2026-05-24 04:05:17.204296,0 days 00:00:01.360887,True,entropy,10,log2,4,5,76,COMPLETE
13,0.9721,2026-05-24 04:05:17.205346,2026-05-24 04:05:18.214056,0 days 00:00:01.008710,True,entropy,8,log2,3,4,70,COMPLETE
14,0.974,2026-05-24 04:05:18.214905,2026-05-24 04:05:19.117246,0 days 00:00:00.902341,True,entropy,9,log2,4,7,54,COMPLETE
15,0.9741,2026-05-24 04:05:19.117859,2026-05-24 04:05:20.815128,0 days 00:00:01.697269,True,entropy,9,log2,3,7,96,COMPLETE
16,0.9718,2026-05-24 04:05:20.815785,2026-05-24 04:05:23.341136,0 days 00:00:02.525351,True,entropy,8,log2,3,5,176,COMPLETE
17,0.9718,2026-05-24 04:05:23.341997,2026-05-24 04:05:26.036266,0 days 00:00:02.694269,True,gini,9,log2,4,6,173,COMPLETE
18,0.9749,2026-05-24 04:05:26.036927,2026-05-24 04:05:27.727599,0 days 00:00:01.690672,True,entropy,10,sqrt,2,8,97,COMPLETE
19,0.9686,2026-05-24 04:05:27.728518,2026-05-24 04:05:31.400979,0 days 00:00:03.672461,False,gini,8,log2,5,4,234,COMPLETE
20,0.9688,2026-05-24 04:05:31.401980,2026-05-24 04:05:33.658497,0 days 00:00:02.256517,True,gini,7,log2,3,10,175,COMPLETE
21,0.9753,2026-05-24 04:05:33.659160,2026-05-24 04:05:36.292072,0 days 00:00:02.632912,True,entropy,10,log2,4,3,144,COMPLETE
22,0.9757,2026-05-24 04:05:36.292830,2026-05-24 04:05:38.141235,0 days 00:00:01.848405,True,entropy,10,log2,4,3,100,COMPLETE
23,0.9745,2026-05-24 04:05:38.142337,2026-05-24 04:05:39.518751,0 days 00:00:01.376414,True,entropy,9,log2,4,4,83,COMPLETE
24,0.9774,2026-05-24 04:05:39.519588,2026-05-24 04:05:40.428746,0 days 00:00:00.909158,True,entropy,10,log2,5,5,52,COMPLETE
25,0.9756,2026-05-24 04:05:40.429611,2026-05-24 04:05:41.301729,0 days 00:00:00.872118,True,entropy,9,log2,5,5,53,COMPLETE
26,0.9689,2026-05-24 04:05:41.302670,2026-05-24 04:05:42.523910,0 days 00:00:01.221240,False,entropy,8,sqrt,5,6,73,COMPLETE
27,0.9748,2026-05-24 04:05:42.524897,2026-05-24 04:05:44.513734,0 days 00:00:01.988837,True,entropy,10,log2,5,8,112,COMPLETE
28,0.9752,2026-05-24 04:05:44.514524,2026-05-24 04:05:47.925091,0 days 00:00:03.410567,False,gini,9,log2,2,5,195,COMPLETE
29,0.9758,2026-05-24 04:05:47.925696,2026-05-24 04:05:50.410939,0 days 00:00:02.485243,False,entropy,10,sqrt,3,6,128,COMPLETE
30,0.9663,2026-05-24 04:05:50.411605,2026-05-24 04:05:53.819648,0 days 00:00:03.408043,True,entropy,7,log2,5,4,268,COMPLETE
31,0.9758,2026-05-24 04:05:53.820437,2026-05-24 04:05:56.352611,0 days 00:00:02.532174,False,entropy,10,sqrt,3,6,128,COMPLETE
32,0.9715,2026-05-24 04:05:56.353382,2026-05-24 04:05:57.501299,0 days 00:00:01.147917,False,entropy,9,sqrt,3,5,64,COMPLETE
33,0.9781,2026-05-24 04:05:57.501953,2026-05-24 04:05:59.131853,0 days 00:00:01.629900,False,entropy,10,sqrt,2,8,84,COMPLETE
34,0.9785,2026-05-24 04:05:59.132663,2026-05-24 04:06:00.740101,0 days 00:00:01.607438,False,entropy,10,sqrt,2,8,80,COMPLETE
35,0.9748,2026-05-24 04:06:00.740716,2026-05-24 04:06:04.915529,0 days 00:00:04.174813,False,entropy,9,sqrt,2,8,229,COMPLETE
36,0.969,2026-05-24 04:06:04.916299,2026-05-24 04:06:06.232651,0 days 00:00:01.316352,False,gini,8,sqrt,2,8,86,COMPLETE
37,0.9773,2026-05-24 04:06:06.233771,2026-05-24 04:06:08.380046,0 days 00:00:02.146275,False,gini,10,sqrt,1,9,109,COMPLETE
38,0.9714,2026-05-24 04:06:08.381027,2026-05-24 04:06:09.349164,0 days 00:00:00.968137,False,entropy,9,sqrt,2,9,53,COMPLETE
39,0.9402,2026-05-24 04:06:09.349845,2026-05-24 04:06:10.240559,0 days 00:00:00.890714,False,gini,5,sqrt,2,10,85,COMPLETE
40,0.9505,2026-05-24 04:06:10.241254,2026-05-24 04:06:13.891919,0 days 00:00:03.650665,False,entropy,6,sqrt,1,7,299,COMPLETE
41,0.9775,2026-05-24 04:06:13.892619,2026-05-24 04:06:16.104841,0 days 00:00:02.212222,False,gini,10,sqrt,1,9,108,COMPLETE
42,0.9779,2026-05-24 04:06:16.105482,2026-05-24 04:06:17.403794,0 days 00:00:01.298312,False,gini,10,sqrt,1,8,63,COMPLETE
43,0.9776,2026-05-24 04:06:17.404592,2026-05-24 04:06:20.461496,0 days 00:00:03.056904,False,gini,10,sqrt,1,8,157,COMPLETE
44,0.7779,2026-05-24 04:06:20.462314,2026-05-24 04:06:21.559618,0 days 00:00:01.097304,False,gini,3,sqrt,1,8,158,COMPLETE
45,0.9771,2026-05-24 04:06:21.560448,2026-05-24 04:06:26.707885,0 days 00:00:05.147437,False,gini,10,sqrt,1,8,249,COMPLETE
46,0.975,2026-05-24 04:06:26.708638,2026-05-24 04:06:30.111616,0 days 00:00:03.402978,False,gini,9,sqrt,2,9,195,COMPLETE
47,0.8322,2026-05-24 04:06:30.112439,2026-05-24 04:06:31.948364,0 days 00:00:01.835925,False,gini,4,sqrt,1,7,218,COMPLETE
48,0.9797,2026-05-24 04:06:31.948973,2026-05-24 04:06:33.472960,0 days 00:00:01.523987,False,gini,10,sqrt,2,9,67,COMPLETE
49,0.9742,2026-05-24 04:06:33.473714,2026-05-24 04:06:34.740653,0 days 00:00:01.266939,False,gini,9,sqrt,2,10,67,COMPLETE
