number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.991,2026-05-25 12:42:03.328560,2026-05-25 12:42:06.604486,0 days 00:00:03.275926,0.43814978285856665,0.6776325836494301,0.4761533139972428,5,54,0.31512774328723414,6.829340746227379,0.3058588358555784,COMPLETE
1,0.9912,2026-05-25 12:42:06.607108,2026-05-25 12:42:12.646989,0 days 00:00:06.039881,0.7463939514775818,1.681888017631733,0.2723538872976839,10,134,0.8646630253638677,2.4962842539434327,0.5712027647870476,COMPLETE
2,0.9919,2026-05-25 12:42:12.650170,2026-05-25 12:42:19.877764,0 days 00:00:07.227594,0.39908690741488995,2.0201667859390264,0.2905231131752584,10,217,0.5817536598343712,9.209398035836536,0.4680945523028689,COMPLETE
3,0.9916,2026-05-25 12:42:19.880303,2026-05-25 12:42:23.256514,0 days 00:00:03.376211,0.8092281062676647,3.1650939062825967,0.3288008221862633,6,96,0.8614397026918467,7.753235255438929,0.49315872345311496,COMPLETE
4,0.9913,2026-05-25 12:42:23.258188,2026-05-25 12:42:26.030808,0 days 00:00:02.772620,0.7840094631509292,3.4807033724523047,0.46505097494694736,4,57,0.6296424587278224,2.214017633849094,0.4880003730831233,COMPLETE
5,0.9914,2026-05-25 12:42:26.033666,2026-05-25 12:42:31.166217,0 days 00:00:05.132551,0.5927423929010756,3.219063179000786,0.459509935844827,8,82,0.11216678625127266,5.303464687745297,0.7510313618728006,COMPLETE
6,0.9909,2026-05-25 12:42:31.167601,2026-05-25 12:42:40.607156,0 days 00:00:09.439555,0.16474250854755965,4.600953881145968,0.4795198192214877,5,185,0.7411638753539378,4.142576346420296,0.40949295154123977,COMPLETE
7,0.9913,2026-05-25 12:42:40.608763,2026-05-25 12:42:53.289594,0 days 00:00:12.680831,0.7033786959899616,3.3112550771923326,0.15135184521089481,7,217,0.5782017189213193,2.6446932631777313,0.5352927403239853,COMPLETE
8,0.9911,2026-05-25 12:42:53.290928,2026-05-25 12:43:01.997861,0 days 00:00:08.706933,0.5929150691066528,1.6956164485415404,0.15213460560526923,6,127,0.6118752110170365,3.6254360978169933,0.3618143258912916,COMPLETE
9,0.9911,2026-05-25 12:43:01.999746,2026-05-25 12:43:15.392976,0 days 00:00:13.393230,0.7100258428101587,2.3939339460762206,0.2528603323483751,3,245,0.1672913861959744,3.7207156514703543,0.5283812926614967,COMPLETE
