iter	Passed	Remaining
0	41	23734
1	77	22403
2	115	22185
3	153	21999
4	191	21965
5	230	22000
6	275	22549
7	319	22786
8	358	22690
9	392	22319
10	427	22060
11	461	21805
12	493	21484
13	540	21828
14	621	23370
15	673	23687
16	725	23975
17	767	23914
18	804	23702
19	841	23512
20	881	23426
21	917	23233
22	956	23123
23	987	22842
24	1022	22648
25	1052	22381
26	1086	22214
27	1117	21989
28	1149	21802
29	1172	21458
30	1209	21385
31	1240	21206
32	1270	21024
33	1297	20796
34	1326	20618
35	1362	20551
36	1392	20397
37	1423	20271
38	1459	20205
39	1506	20304
40	1539	20201
41	1569	20065
42	1596	19900
43	1630	19822
44	1660	19701
45	1687	19556
46	1716	19424
47	1750	19365
48	1784	19305
49	1815	19205
50	1843	19084
51	1875	19005
52	1907	18932
53	1936	18823
54	1965	18729
55	1991	18602
56	2019	18494
57	2055	18464
58	2086	18389
59	2113	18280
60	2142	18194
61	2169	18088
62	2194	17978
63	2223	17890
64	2254	17828
65	2287	17779
66	2318	17715
67	2356	17706
68	2387	17644
69	2416	17569
70	2451	17539
71	2480	17470
72	2511	17409
73	2542	17349
74	2577	17318
75	2611	17286
76	2641	17224
77	2668	17141
78	2705	17123
79	2734	17059
80	2769	17025
81	2799	16966
82	2828	16903
83	2854	16821
84	2883	16757
85	2910	16681
86	2936	16606
87	2964	16540
88	2998	16509
89	3023	16426
90	3053	16375
91	3088	16349
92	3120	16306
93	3149	16250
94	3187	16239
95	3219	16197
96	3250	16150
97	3290	16148
98	3318	16091
99	3351	16055
100	3385	16021
101	3421	16002
102	3457	15977
103	3492	15949
104	3513	15860
105	3548	15834
106	3579	15790
107	3610	15747
108	3641	15701
109	3671	15652
110	3698	15595
111	3732	15562
112	3763	15520
113	3798	15495
114	3832	15461
115	3861	15410
116	3897	15390
117	3927	15343
118	3973	15361
119	4022	15387
120	4072	15416
121	4114	15412
122	4152	15395
123	4195	15396
124	4242	15409
125	4298	15452
126	4338	15440
127	4378	15426
128	4422	15426
129	4460	15404
130	4497	15381
131	4541	15377
132	4580	15361
133	4615	15328
134	4651	15299
135	4698	15305
136	4736	15282
137	4778	15269
138	4821	15260
139	4860	15242
140	4898	15216
141	4931	15175
142	4958	15117
143	4990	15074
144	5022	15031
145	5051	14980
146	5078	14925
147	5109	14879
148	5140	14835
149	5170	14788
150	5206	14757
151	5243	14729
152	5276	14690
153	5303	14637
154	5330	14581
155	5361	14537
156	5392	14493
157	5424	14453
158	5464	14434
159	5499	14401
160	5528	14353
161	5565	14326
162	5611	14322
163	5647	14291
164	5690	14278
165	5723	14239
166	5756	14200
167	5789	14162
168	5841	14170
169	5874	14132
170	5912	14107
171	5942	14061
172	5977	14028
173	6006	13981
174	6045	13955
175	6085	13934
176	6121	13903
177	6153	13863
178	6189	13831
179	6226	13802
180	6260	13765
181	6295	13731
182	6330	13697
183	6363	13659
184	6397	13624
185	6435	13598
186	6472	13567
187	6510	13541
188	6544	13504
189	6581	13474
190	6608	13425
191	6638	13380
192	6676	13352
193	6725	13346
194	6763	13319
195	6802	13291
196	6833	13251
197	6871	13222
198	6909	13194
199	6942	13155
200	6975	13117
201	7008	13080
202	7046	13051
203	7085	13024
204	7120	12991
205	7157	12959
206	7186	12914
207	7226	12890
208	7256	12847
209	7295	12819
210	7335	12794
211	7376	12769
212	7410	12732
213	7442	12693
214	7469	12646
215	7497	12599
216	7530	12562
217	7566	12529
218	7597	12489
219	7639	12466
220	7679	12439
221	7721	12417
222	7760	12388
223	7791	12348
224	7820	12304
225	7847	12257
226	7883	12225
227	7915	12185
228	7949	12149
229	7983	12113
230	8012	12071
231	8043	12030
232	8077	11994
233	8107	11953
234	8134	11907
235	8163	11864
236	8192	11822
237	8226	11786
238	8259	11750
239	8287	11706
240	8318	11666
241	8348	11625
242	8376	11581
243	8410	11546
244	8441	11507
245	8473	11470
246	8505	11431
247	8547	11407
248	8583	11376
249	8620	11344
250	8653	11307
251	8688	11274
252	8725	11242
253	8757	11205
254	8789	11167
255	8833	11145
256	8875	11119
257	8915	11092
258	8950	11059
259	8980	11017
260	9005	10972
261	9039	10937
262	9065	10892
263	9096	10853
264	9129	10817
265	9165	10784
266	9199	10749
267	9238	10720
268	9269	10682
269	9297	10640
270	9332	10607
271	9362	10567
272	9398	10534
273	9428	10495
274	9461	10459
275	9490	10418
276	9529	10389
277	9559	10350
278	9590	10312
279	9620	10272
280	9662	10246
281	9694	10209
282	9729	10176
283	9770	10148
284	9809	10119
285	9839	10080
286	9875	10047
287	9914	10018
288	9951	9986
289	9981	9946
290	10018	9915
291	10049	9877
292	10078	9838
293	10110	9800
294	10138	9760
295	10175	9728
296	10204	9688
297	10233	9649
298	10263	9610
299	10298	9577
300	10329	9540
301	10357	9500
302	10390	9464
303	10430	9435
304	10461	9398
305	10497	9365
306	10528	9328
307	10560	9292
308	10593	9256
309	10624	9219
310	10661	9187
311	10696	9154
312	10733	9121
313	10770	9089
314	10795	9047
315	10825	9009
316	10859	8975
317	10889	8937
318	10919	8899
319	10948	8861
320	10980	8825
321	11011	8788
322	11037	8747
323	11068	8711
324	11099	8674
325	11127	8635
326	11163	8603
327	11195	8567
328	11233	8536
329	11269	8503
330	11298	8464
331	11339	8436
332	11374	8402
333	11411	8370
334	11452	8341
335	11490	8309
336	11523	8274
337	11551	8236
338	11579	8198
339	11607	8159
340	11634	8119
341	11662	8082
342	11697	8048
343	11726	8010
344	11764	7979
345	11791	7940
346	11825	7906
347	11854	7868
348	11889	7835
349	11921	7800
350	11953	7764
351	11989	7731
352	12019	7695
353	12049	7658
354	12078	7621
355	12106	7583
356	12142	7550
357	12173	7515
358	12209	7482
359	12235	7443
360	12271	7410
361	12303	7375
362	12329	7336
363	12361	7301
364	12392	7265
365	12424	7230
366	12458	7196
367	12486	7159
368	12517	7123
369	12547	7087
370	12576	7050
371	12606	7014
372	12637	6979
373	12668	6944
374	12698	6908
375	12726	6871
376	12754	6833
377	12786	6799
378	12816	6763
379	12841	6724
380	12870	6688
381	12901	6653
382	12928	6615
383	12959	6581
384	12986	6543
385	13017	6508
386	13052	6475
387	13088	6442
388	13124	6410
389	13159	6377
390	13194	6344
391	13224	6308
392	13254	6273
393	13286	6238
394	13331	6209
395	13368	6177
396	13407	6146
397	13436	6110
398	13470	6077
399	13498	6040
400	13528	6005
401	13556	5968
402	13590	5935
403	13623	5901
404	13661	5869
405	13693	5834
406	13727	5801
407	13763	5768
408	13795	5733
409	13836	5703
410	13868	5668
411	13901	5634
412	13927	5598
413	13958	5563
414	13990	5528
415	14024	5495
416	14053	5459
417	14083	5424
418	14116	5390
419	14155	5358
420	14192	5326
421	14226	5292
422	14262	5259
423	14293	5225
